Gene	MostFrequentPhenotype	numVariant	numPhenotypes	Date	MostFrequentInterpretation
PNP	Purine-nucleoside phosphorylase deficiency	14	3	aug2014	Pathogenic
CFB	Malignant melanoma	16	6	aug2014	not provided
CREBBP	AllHighlyPenetrant	90	8	aug2014	not provided
AAAS	Glucocorticoid deficiency with achalasia	12	4	aug2014	Pathogenic
SIX1	Melnick-Fraser syndrome	9	3	aug2014	Pathogenic
SIX3	Holoprosencephaly 2	17	2	aug2014	Pathogenic
AAGAB	Keratosis palmoplantaris papulosa	6	1	aug2014	Pathogenic
NBEAP1	Global developmental delay	6	3	aug2014	Pathogenic
RFX5	BARE LYMPHOCYTE SYNDROME, TYPE II, COMPLEMENT	7	3	aug2014	Pathogenic
RFX6	AllHighlyPenetrant	20	4	aug2014	Likely benign
NRXN3	Lung cancer	24	2	aug2014	Uncertain significance
NRXN2	AllHighlyPenetrant	14	3	aug2014	Likely benign
NRXN1	not provided	86	11	aug2014	Benign
APC	Familial colorectal cancer	1425	21	aug2014	other
KHDRBS2	Lung cancer	12	3	aug2014	Uncertain significance
LHCGR	Gonadotropin-independent familial sexual prec	40	10	aug2014	Pathogenic
INF2	Charcot-Marie-Tooth disease, dominant interme	13	3	aug2014	Pathogenic
GJA1	Oculodentodigital dysplasia	23	6	aug2014	Pathogenic
GJA3	Zonular pulverulent cataract 3	9	1	aug2014	Pathogenic
GJA5	Atrial fibrillation, familial, 11	9	4	aug2014	Pathogenic
GJA8	Cataract 1	10	2	aug2014	Pathogenic
SEZ6L	Malignant melanoma	7	2	aug2014	not provided
ITGA8	Renal adysplasia	8	5	aug2014	Pathogenic
TMC1	AllHighlyPenetrant	34	5	aug2014	Uncertain significance
EIF2B4	AllHighlyPenetrant	13	4	aug2014	Pathogenic
EIF2B5	Leukoencephalopathy with vanishing white matt	15	4	aug2014	Pathogenic
EIF2B3	Leukoencephalopathy with vanishing white matt	9	3	aug2014	Pathogenic
MAGT1	not provided	8	4	aug2014	Uncertain significance
IFT140	Renal dysplasia, retinal pigmentary dystrophy	17	4	aug2014	Pathogenic
MECOM	Malignant melanoma	10	3	aug2014	not provided
ITGA2B	Glanzmanns thrombasthenia	20	6	aug2014	Pathogenic
MYT1L	Lung cancer	7	2	aug2014	Uncertain significance
CLIC2	Global developmental delay	6	5	aug2014	Uncertain significance
NLGN3	not provided	6	4	aug2014	Uncertain significance
CFHR5	not provided	11	4	aug2014	not provided
RIT2	Lung cancer	6	2	aug2014	Uncertain significance
FOXL2	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVE	28	6	aug2014	Pathogenic
RIT1	Noonan syndrome 8	6	2	aug2014	Pathogenic
SMOC2	Lung cancer	6	3	aug2014	Uncertain significance
CASP9	Global developmental delay	7	4	aug2014	Pathogenic
ZAP70	Severe combined immunodeficiency, atypical	13	4	aug2014	Pathogenic
SBDS	Shwachman syndrome	16	2	aug2014	Pathogenic
VCL	AllHighlyPenetrant	84	8	aug2014	Benign
VCP	Inclusion body myopathy with early-onset page	12	4	aug2014	Pathogenic
AP2A2	Developmental delay and additional significan	7	2	aug2014	Pathogenic
AIRE	Polyglandular autoimmune syndrome, type 1	62	8	aug2014	not provided
NSUN2	AllHighlyPenetrant	13	3	aug2014	Likely benign
PRAMEF2	Malignant melanoma	10	1	aug2014	not provided
PTCH1	Gorlin syndrome	137	7	aug2014	Uncertain significance
TIMM44	not provided	19	1	aug2014	Benign
DLGAP2	Lung cancer	6	1	aug2014	Uncertain significance
SRPX2	not provided	12	2	aug2014	Benign
CLCN2	LEUKOENCEPHALOPATHY WITH ATAXIA	11	6	aug2014	Pathogenic
CLCN1	Myotonia congenita	51	5	aug2014	Pathogenic
CLCN7	Osteopetrosis autosomal recessive 4	14	4	aug2014	Pathogenic
CLCN5	Dent disease 1	26	6	aug2014	Pathogenic
PTPN11	Rasopathy	257	12	aug2014	Pathogenic
CSF2RB	Malignant melanoma	8	6	aug2014	Pathogenic
DMD	not provided	648	15	aug2014	Pathogenic
SDK1	Malignant melanoma	7	2	aug2014	not provided
HABP2	Malignant melanoma	6	5	aug2014	not provided
RNF135	Macrocephaly, macrosomia, facial dysmorphism 	6	3	aug2014	Pathogenic
TSHZ2	Malignant melanoma	8	2	aug2014	not provided
MYO1E	Lung cancer	6	3	aug2014	Uncertain significance
MYO1A	AllHighlyPenetrant	22	3	aug2014	Pathogenic
BCR	Developmental delay and additional significan	18	9	aug2014	Pathogenic
HOXA13	Hand foot uterus syndrome	8	2	aug2014	Pathogenic
SRC	not provided	14	2	aug2014	not provided
GALNTL6	Lung cancer	9	2	aug2014	Uncertain significance
FER1L6-AS2	Malignant melanoma	6	1	aug2014	not provided
SRY	46,XY sex reversal, type 1	21	2	aug2014	Pathogenic
EIF2AK3	AllHighlyPenetrant	12	3	aug2014	Likely benign
EIF2AK4	Familial pulmonary capillary hemangiomatosis	11	2	aug2014	Pathogenic
MYO16	Lung cancer	11	1	aug2014	Uncertain significance
OCRL	Lowe syndrome	51	5	aug2014	not provided
SLCO1B3	Malignant melanoma	7	3	aug2014	not provided
MPDU1	Congenital disorder of glycosylation type 1F	8	3	aug2014	Pathogenic
PIGA	Paroxysmal nocturnal hemoglobinuria	17	2	aug2014	Pathogenic
PIGV	Hyperphosphatasia with mental retardation syn	6	1	aug2014	Pathogenic
RMND1	not provided	12	3	aug2014	Benign
INPPL1	Opsismodysplasia	9	1	aug2014	Pathogenic
ITGAE	Malignant melanoma	6	1	aug2014	not provided
EBP	Chondrodysplasia punctata 2 X-linked dominant	11	2	aug2014	Pathogenic
ALPL	Infantile hypophosphatasia	37	7	aug2014	Pathogenic
SLC39A10	Malignant melanoma	7	3	aug2014	not provided
NTRK1	Hereditary insensitivity to pain with anhidro	28	4	aug2014	Pathogenic
NTRK3	Lung cancer	7	2	aug2014	Uncertain significance
ARHGAP26	AllHighlyPenetrant	11	3	aug2014	not provided
ARHGAP24	Lung cancer	6	2	aug2014	Uncertain significance
MLYCD	not provided	21	4	aug2014	Benign
BMP6	Lung cancer	7	5	aug2014	Pathogenic
BMP4	Microphthalmia syndromic 6	12	4	aug2014	Pathogenic
BMP1	Osteogenesis imperfecta type 13	6	5	aug2014	Pathogenic
NDUFAF2	not provided	6	5	aug2014	Pathogenic
NHP2	Dyskeratosis congenita, autosomal recessive 2	6	2	aug2014	Pathogenic
LPPR1	Malignant melanoma	6	2	aug2014	not provided
CHD2	Epileptic encephalopathy, childhood-onset	16	4	aug2014	Pathogenic
CHD7	not provided	69	8	aug2014	Pathogenic
CHD8	Autism, susceptibility to, 18	11	3	aug2014	risk factor
NPC2	Niemann-Pick disease type C2	17	1	aug2014	Pathogenic
NPC1	Niemann-Pick disease type C1	69	7	aug2014	Pathogenic
RAB3GAP1	Warburg micro syndrome 1	27	5	aug2014	Pathogenic
TTC8	Bardet-Biedl syndrome 8	7	4	aug2014	Pathogenic
DAG1	not provided	15	3	aug2014	not provided
EFHC1	not provided	34	5	aug2014	Benign
ETHE1	Ethylmalonic encephalopathy	13	3	aug2014	Pathogenic
PRDM16	Dilated cardiomyopathy 1LL	10	4	aug2014	Pathogenic
ABCG2	Blood group, junior system	12	3	aug2014	association
ABCG8	Sitosterolemia	17	3	aug2014	Pathogenic
MPO	Myeloperoxidase deficiency	13	4	aug2014	Pathogenic
MPL	AllHighlyPenetrant	37	6	aug2014	not provided
AVP	Neurohypophyseal diabetes insipidus	21	4	aug2014	Pathogenic
MPI	AllHighlyPenetrant	13	3	aug2014	Benign
PXDN	Sclerocornea, autosomal recessive	6	2	aug2014	Pathogenic
FUCA1	Fucosidosis	15	3	aug2014	Pathogenic
MPZ	Charcot-Marie-Tooth disease, type IB	57	14	aug2014	Pathogenic
MCPH1	Primary autosomal recessive microcephaly 1	19	5	aug2014	Pathogenic
SRD5A3	Congenital disorder of glycosylation type 1Q	7	3	aug2014	Pathogenic
SRD5A2	not provided	55	5	aug2014	not provided
FHOD3	Lung cancer	7	2	aug2014	Uncertain significance
PKD2	Polycystic kidney disease 2	19	4	aug2014	Pathogenic
PKD1	Polycystic kidney disease, adult type	24	5	aug2014	Pathogenic
GJC2	Leukodystrophy, hypomyelinating, 2	13	3	aug2014	Pathogenic
PSMB8	Nakajo syndrome	6	2	aug2014	Pathogenic
SPG7	not provided	32	4	aug2014	Benign
MBL2	Mannose-binding protein deficiency	6	3	aug2014	Pathogenic
KCNK9	Lung cancer	6	3	aug2014	Uncertain significance
MLH3	Hereditary nonpolyposis colorectal cancer typ	10	3	aug2014	Pathogenic
MLH1	Lynch syndrome	1188	9	aug2014	Pathogenic
KCNK3	Primary pulmonary hypertension 4	6	2	aug2014	Pathogenic
TRIML1	Malignant melanoma	6	4	aug2014	not provided
VPS13A	Choreoacanthocytosis	18	3	aug2014	Pathogenic
VPS13B	Cohen syndrome	195	7	aug2014	Likely pathogenic
EVI2A	Developmental delay and additional significan	11	7	aug2014	Pathogenic
COL14A1	Malignant melanoma	14	3	aug2014	not provided
GRIN2B	not provided	63	5	aug2014	Benign
GRIN2A	not provided	83	4	aug2014	not provided
GNA11	Hypocalcemia, autosomal dominant 2	9	5	aug2014	Pathogenic
TAP2	PEPTIDE TRANSPORTER PSF2 POLYMORPHISM	6	3	aug2014	Benign
SBF2	not provided	13	5	aug2014	Pathogenic
ACTG2	Megaduodenum and/or megacystis	9	1	aug2014	Pathogenic
CDC73	Parathyroid carcinoma	31	9	aug2014	Pathogenic
DAZ1	Developmental delay and additional significan	6	3	aug2014	Pathogenic
BCAT1	Developmental delay and additional significan	7	3	aug2014	Uncertain significance
MACROD2	Lung cancer	23	4	aug2014	Uncertain significance
AKAP6	Malignant melanoma	7	2	aug2014	not provided
DYSF	not provided	157	7	aug2014	Pathogenic
AKAP9	not provided	26	4	aug2014	Benign
NFU1	not provided	9	3	aug2014	Benign
non-specified	Lung cancer	15839	58	aug2014	Uncertain significance
TMEM132D	Lung cancer	17	4	aug2014	Uncertain significance
TMEM132B	Malignant melanoma	14	2	aug2014	not provided
PCLO	Malignant melanoma	23	3	aug2014	not provided
VSX2	Microphthalmia, isolated 2	8	4	aug2014	Pathogenic
ALPK2	Malignant melanoma	6	1	aug2014	not provided
CUX2	Lung cancer	8	2	aug2014	Uncertain significance
FSIP2	Malignant melanoma	6	2	aug2014	not provided
GOSR2	not provided	6	4	aug2014	Benign
SLCO6A1	Malignant melanoma	6	2	aug2014	not provided
ZNF831	Malignant melanoma	15	2	aug2014	not provided
ACAT1	Deficiency of acetyl-CoA acetyltransferase	23	3	aug2014	Pathogenic
ACAT2	Developmental delay and additional significan	6	2	aug2014	Pathogenic
PEX1	not provided	27	5	aug2014	Pathogenic
CTF1	AllHighlyPenetrant	13	2	aug2014	Uncertain significance
MECP2	not provided	109	10	aug2014	Pathogenic
SUGCT	Lung cancer	7	2	aug2014	Uncertain significance
LDLR	Familial hypercholesterolemia	91	3	aug2014	other
IL2RA	Malignant melanoma	6	3	aug2014	not provided
ZFYVE26	AllHighlyPenetrant	21	5	aug2014	Pathogenic
SLC17A5	Salla disease	27	4	aug2014	Pathogenic
ZFYVE28	Malignant melanoma	6	2	aug2014	not provided
SPAG16	Lung cancer	7	2	aug2014	Uncertain significance
CDK5RAP2	Primary autosomal recessive microcephaly 3	32	4	aug2014	Benign
MYF5	Muscular hypotonia	7	5	aug2014	Pathogenic
CTSK	Pyknodysostosis	7	1	aug2014	Pathogenic
SLC37A4	not provided	62	3	aug2014	not provided
CDK12	AllHighlyPenetrant	21	2	aug2014	not provided
ATP6V1B1	AllHighlyPenetrant	21	4	aug2014	Benign
CTSD	not provided	44	3	aug2014	Benign
STS	Developmental delay and additional significan	28	12	aug2014	Pathogenic
HOXB13	Neoplastic Syndromes, Hereditary	10	1	aug2014	Uncertain significance
TSFM	not provided	6	2	aug2014	Benign
ADRA2B	Global developmental delay	10	6	aug2014	Uncertain significance
FGFR1	Kallmann syndrome 2	38	9	aug2014	Pathogenic
PCYT1A	Spondylometaphyseal dysplasia with cone-rod d	10	2	aug2014	Pathogenic
LRRC4C	Lung cancer	26	3	aug2014	Uncertain significance
SYT1	Lung cancer	6	2	aug2014	Uncertain significance
RHO	Retinitis pigmentosa 4	46	5	aug2014	Pathogenic
KISS1R	HYPOGONADOTROPIC HYPOGONADISM 8 WITHOUT ANOSM	8	4	aug2014	Pathogenic
FAM189A1	Lung cancer	6	1	aug2014	Uncertain significance
HFE	Hereditary hemochromatosis	21	10	aug2014	Pathogenic
ANGPT2	Developmental delay and additional significan	14	8	aug2014	Pathogenic
ANGPT1	Malignant melanoma	10	5	aug2014	not provided
ATP6V0A4	Renal tubular acidosis, distal, autosomal rec	10	1	aug2014	Pathogenic
ATP6V0A2	Cutis laxa with osteodystrophy	28	5	aug2014	Pathogenic
GPR98	AllHighlyPenetrant	243	9	aug2014	Benign
KRT75	Malignant melanoma	7	3	aug2014	not provided
KRT74	not provided	9	6	aug2014	Pathogenic
ATM	Neoplastic Syndromes, Hereditary	691	15	aug2014	Uncertain significance
ATR	Malignant melanoma	12	5	aug2014	Benign
BRIP1	Neoplastic Syndromes, Hereditary	219	6	aug2014	Uncertain significance
ITGBL1	Lung cancer	8	3	aug2014	Uncertain significance
ATP5A1	Developmental delay and additional significan	6	3	aug2014	Pathogenic
HFE2	Hemochromatosis type 2A	11	2	aug2014	Pathogenic
SYCP1	Malignant melanoma	6	2	aug2014	not provided
ACOX1	Pseudoneonatal adrenoleukodystrophy	8	2	aug2014	Pathogenic
SLC22A12	Familial renal hypouricemia	6	1	aug2014	Pathogenic
ARHGDIG	Global developmental delay	7	5	aug2014	Pathogenic
USH1C	AllHighlyPenetrant	86	6	aug2014	Benign
USH1G	AllHighlyPenetrant	23	4	aug2014	Pathogenic
MATN3	Multiple epiphyseal dysplasia 5	10	5	aug2014	Pathogenic
STIL	Primary autosomal recessive microcephaly 7	17	4	aug2014	Benign
KBTBD13	AllHighlyPenetrant	11	2	aug2014	Benign
EBF2	Malignant melanoma	6	2	aug2014	not provided
HBA1	Hemoglobin H disease, nondeletional	258	256	aug2014	other
LMNA	not provided	457	22	aug2014	not provided
HBA2	Hemoglobin H disease, nondeletional	103	89	aug2014	other
BDH1	Developmental delay and additional significan	17	7	aug2014	Uncertain significance
FLVCR2	Proliferative vasculopathy and hydranencephal	12	2	aug2014	Pathogenic
FKBP10	Bruck syndrome 1	14	3	aug2014	Pathogenic
TBX20	Atrial septal defect 4	17	2	aug2014	Uncertain significance
FBXO11	AllHighlyPenetrant	8	3	aug2014	not provided
CNGB1	not provided	18	4	aug2014	Benign
CNGB3	Malignant melanoma	18	5	aug2014	not provided
PLA2G6	Parkinson disease 14	18	5	aug2014	Pathogenic
PLA2G5	Fleck retina, familial benign	6	2	aug2014	Pathogenic
PEX26	Peroxisome biogenesis disorder 7A	13	5	aug2014	Pathogenic
CCDC78	AllHighlyPenetrant	7	3	aug2014	Likely benign
TMEM108	Lung cancer	8	2	aug2014	Uncertain significance
FOXH1	not provided	7	3	aug2014	Benign
MT-TW	Encephalopathy, mitochondrial	7	6	aug2014	Pathogenic
MT-TI	Cardiomyopathy, familial hypertrophic	8	7	aug2014	Pathogenic
MT-TK	Myoclonus with epilepsy with ragged red fiber	10	8	aug2014	Pathogenic
MT-TF	Epilepsy, mitochondrial	7	6	aug2014	Pathogenic
TIMM8A	Mohr-Tranebjaerg syndrome	14	4	aug2014	Pathogenic
AHNAK	Malignant melanoma	8	2	aug2014	not provided
NKAIN3	Lung cancer	9	1	aug2014	Uncertain significance
NKAIN2	Lung cancer	6	2	aug2014	Uncertain significance
UNC5D	Lung cancer	10	2	aug2014	Uncertain significance
CCM2	Cerebral cavernous malformations 2	10	1	aug2014	Pathogenic
FRMD7	X-linked infantile nystagmus	12	1	aug2014	Pathogenic
GNAS	AllHighlyPenetrant	84	16	aug2014	Pathogenic
MED13L	Malignant melanoma	9	5	aug2014	Pathogenic
GNAL	Dystonia 25	6	1	aug2014	Pathogenic
DPF3	Lung cancer	7	1	aug2014	Uncertain significance
KRT3	not provided	8	3	aug2014	not provided
KRT2	not provided	23	3	aug2014	not provided
KRT1	not provided	79	9	aug2014	not provided
KRT5	not provided	145	11	aug2014	not provided
KRT4	Malignant melanoma	10	3	aug2014	not provided
KRT9	not provided	43	4	aug2014	not provided
CRYGC	Cataract, coppock-like	7	2	aug2014	Pathogenic
CRYGD	Cataract 4	7	1	aug2014	Pathogenic
ECT2L	AllHighlyPenetrant	32	2	aug2014	not provided
NMNAT2	Malignant melanoma	6	2	aug2014	not provided
NMNAT1	Leber congenital amaurosis 9	10	2	aug2014	Pathogenic
ALOX12B	Autosomal recessive congenital ichthyosis 2	15	3	aug2014	Pathogenic
EPB41L1	AllHighlyPenetrant	9	3	aug2014	Likely benign
DFNA5	AllHighlyPenetrant	16	2	aug2014	Benign
WNT1	Osteogenesis imperfecta type 15	9	2	aug2014	Pathogenic
DCAF17	Hypogonadism, diabetes mellitus, alopecia, me	16	4	aug2014	Pathogenic
MOGS	AllHighlyPenetrant	10	3	aug2014	Pathogenic
ROGDI	Kohlschutters syndrome	9	2	aug2014	Pathogenic
INSR	Leprechaunism syndrome	44	9	aug2014	Pathogenic
SPTBN2	Spinocerebellar ataxia 5	10	4	aug2014	Pathogenic
KLF11	AllHighlyPenetrant	6	4	aug2014	Pathogenic
TFAP2A	Branchiooculofacial syndrome	7	1	aug2014	Pathogenic
TFAP2B	Char syndrome	10	1	aug2014	Pathogenic
GBE1	Glycogen storage disease, type IV	41	12	aug2014	Pathogenic
SLC44A5	Lung cancer	8	2	aug2014	not provided
PCNT	not provided	59	4	aug2014	Benign
SAMHD1	Aicardi Goutieres syndrome 5	26	3	aug2014	Pathogenic
NDUFS1	not provided	20	3	aug2014	Benign
NDUFS2	not provided	13	4	aug2014	Benign
NDUFS4	Leigh syndrome due to mitochondrial complex I	10	4	aug2014	Pathogenic
NDUFS6	Developmental delay and additional significan	14	7	aug2014	Pathogenic
NDUFS7	not provided	9	3	aug2014	Benign
COQ6	not provided	12	3	aug2014	Benign
COQ2	not provided	24	4	aug2014	Benign
HBD	delta Thalassemia	55	48	aug2014	other
HBB	beta^0^ Thalassemia	710	514	aug2014	other
CHMP2B	not provided	23	4	aug2014	not provided
PPT1	Ceroid lipofuscinosis neuronal 1	78	3	aug2014	Likely pathogenic
ZNF365	Lung cancer	6	3	aug2014	Uncertain significance
GRXCR1	Lung cancer	15	4	aug2014	Uncertain significance
PRF1	Hemophagocytic lymphohistiocytosis, familial,	20	5	aug2014	Pathogenic
AVPR2	Nephrogenic diabetes insipidus, X-linked	36	3	aug2014	Pathogenic
CLTB	Global developmental delay	11	4	aug2014	Pathogenic
NGLY1	Congenital disorder of glycosylation type 1v	6	2	aug2014	Pathogenic
FLG	Malignant melanoma	20	5	aug2014	not provided
NLRX1	not provided	31	2	aug2014	not provided
EPM2A	not provided	21	3	aug2014	Benign
LMX1B	Nail-patella syndrome	16	3	aug2014	Pathogenic
FOXP3	Insulin-dependent diabetes mellitus secretory	15	3	aug2014	Pathogenic
GGCX	Pseudoxanthoma elasticum-like disorder with m	13	2	aug2014	Pathogenic
GNRHR	HYPOGONADOTROPIC HYPOGONADISM 7 WITHOUT ANOSM	19	4	aug2014	Pathogenic
HYDIN	Malignant melanoma	27	4	aug2014	not provided
GP1BA	Bernard-Soulier syndrome, type A1	11	6	aug2014	Pathogenic
ACTN1	Platelet-type bleeding disorder 15	8	3	aug2014	Pathogenic
ANKS1B	Lung cancer	14	2	aug2014	Uncertain significance
IDUA	not provided	73	7	aug2014	Pathogenic
GLB1	not provided	67	9	aug2014	Pathogenic
CPED1	Malignant melanoma	8	2	aug2014	not provided
ADAM10	Reticulate acropigmentation of Kitamura	13	7	aug2014	Pathogenic
CPNE4	Lung cancer	9	2	aug2014	Uncertain significance
DNMT3B	Centromeric instability of chromosomes 1,9 an	13	1	aug2014	Pathogenic
DNMT3A	AllHighlyPenetrant	12	3	aug2014	Pathogenic
SNRPN	Lung cancer	8	6	aug2014	Uncertain significance
SHANK3	22q13.3 deletion syndrome	7	3	aug2014	Pathogenic
SHANK2	Malignant melanoma	18	5	aug2014	not provided
MAST4	Malignant melanoma	6	2	aug2014	not provided
PCSK9	Familial hypercholesterolemia	17	4	aug2014	Benign
PCSK1	Proprotein convertase 1/3 deficiency	10	5	aug2014	Pathogenic
UCP3	OBESITY, SEVERE, AND TYPE II DIABETES	6	4	aug2014	Pathogenic
PCSK5	Lung cancer	6	2	aug2014	not provided
DUSP22	Developmental delay and additional significan	61	35	aug2014	Benign
LEMD3	Dermatofibrosis lenticularis disseminata	11	4	aug2014	Pathogenic
PTEN	Neoplastic Syndromes, Hereditary	212	17	aug2014	Uncertain significance
LGR5	Malignant melanoma	6	2	aug2014	not provided
CDKN1C	Beckwith-Wiedemann syndrome	13	3	aug2014	Pathogenic
SETBP1	Schinzel-Giedion syndrome	9	3	aug2014	Pathogenic
EDNRB	Hirschsprung disease 2	12	5	aug2014	risk factor
DNAI1	Kartagener syndrome	9	3	aug2014	Pathogenic
APOD	Lung cancer	7	4	aug2014	Pathogenic
APOE	Familial type 3 hyperlipoproteinemia	42	25	aug2014	Pathogenic
APOB	Malignant melanoma	54	7	aug2014	Pathogenic
CCDC50	AllHighlyPenetrant	13	2	aug2014	Benign
TMEM127	Pheochromocytoma	26	4	aug2014	Likely pathogenic
FRAS1	Cryptophthalmos syndrome	12	3	aug2014	Pathogenic
HINT1	Gamstorp-Wohlfart syndrome	7	1	aug2014	Pathogenic
UNC79	Malignant melanoma	14	2	aug2014	not provided
ALAS2	Hereditary sideroblastic anemia	31	6	aug2014	Pathogenic
BRWD3	Mental retardation, X-linked 93	10	6	aug2014	Uncertain significance
AIP	Somatotroph adenoma	70	4	aug2014	Likely pathogenic
ALDH3A1	Global developmental delay	22	7	aug2014	Pathogenic
APBA2	Developmental delay and additional significan	26	10	aug2014	Pathogenic
MORC1	Lung cancer	12	2	aug2014	Uncertain significance
RS1	not provided	154	3	aug2014	not provided
CYP27A1	Cholestanol storage disease	70	2	aug2014	Pathogenic
DIAPH2	Lung cancer	6	4	aug2014	Uncertain significance
RAI1	AllHighlyPenetrant	47	5	aug2014	Uncertain significance
COL28A1	Malignant melanoma	6	2	aug2014	not provided
TTBK2	Spinocerebellar ataxia 11	6	3	aug2014	Pathogenic
TUSC3	not provided	8	3	aug2014	Pathogenic
RLBP1	Retinitis punctata albescens	9	5	aug2014	Pathogenic
RPGR	not provided	140	8	aug2014	not provided
PYCR1	Autosomal recessive cutis laxa type 2B	14	3	aug2014	Pathogenic
WNT10A	Tooth agenesis, selective, 4	17	5	aug2014	Pathogenic
LIPC	Hepatic lipase deficiency	10	6	aug2014	Pathogenic
LIPI	Malignant melanoma	6	3	aug2014	not provided
LIPH	Woolly hair, autosomal recessive 2, with or w	10	2	aug2014	Pathogenic
KAL1	Kallmann syndrome 1	30	9	aug2014	Pathogenic
MRPL44	not provided	7	2	aug2014	Benign
LAMB1	Malignant melanoma	8	2	aug2014	not provided
LAMB3	Adult junctional epidermolysis bullosa	23	3	aug2014	Pathogenic
LAMB2	Nephrotic syndrome, type 5, with or without o	12	3	aug2014	Pathogenic
ATP7A	Cutis laxa, X-linked	28	11	aug2014	Pathogenic
ATP7B	Wilsons disease	86	8	aug2014	Pathogenic
NEK1	Short rib-polydactyly syndrome, Majewski type	7	4	aug2014	Pathogenic
PGM3	IMMUNODEFICIENCY 23	12	2	aug2014	Pathogenic
ASTN2	Lung cancer	16	3	aug2014	Uncertain significance
ASTN1	Malignant melanoma	14	2	aug2014	not provided
SHH	Holoprosencephaly 3	39	4	aug2014	Pathogenic
PHEX	Familial X-linked hypophosphatemic vitamin D 	20	3	aug2014	Pathogenic
DYNC2H1	Short-rib thoracic dysplasia 3 with or withou	28	5	aug2014	Pathogenic
NSD1	not provided	66	6	aug2014	Uncertain significance
ADSS	Developmental delay and additional significan	22	8	aug2014	Pathogenic
ADSL	not provided	24	5	aug2014	Pathogenic
SLX4	Fanconi anemia, complementation group P	9	2	aug2014	Pathogenic
DLL3	Jarcho-Levin syndrome	14	2	aug2014	Pathogenic
SLC4A11	Corneal endothelial dystrophy type 2	21	4	aug2014	Pathogenic
SLC4A10	Malignant melanoma	7	2	aug2014	not provided
STAB2	Malignant melanoma	13	2	aug2014	not provided
LGI1	Epilepsy, lateral temporal lobe, autosomal do	18	3	aug2014	Pathogenic
